Nouvelle acquisition du 22/11/2018 19:29:20
Date;Montée (s);Palier (s);Temp (°C);Negative_Reference_Load_Limit;Positive_Reference_Load_Limit;Load;JT1A;JT2A;JT1B;NA
20:49:3:700;1200;0;-55;-0,00;0,00;0,00;5005,02601;5000,74397;5006,73033;5002,3897;
20:49:4:719;1200;0;-55;-0,00;0,00;0,00;5005,01004;5000,7307;5006,73317;5002,39124;
20:49:5:734;1200;0;-55;-0,00;0,00;0,00;5005,01832;5000,74049;5006,74286;5002,39518;
20:49:6:736;1200;0;-55;-0,00;0,00;0,00;5005,01263;5000,73392;5006,73384;5002,39286;
20:49:7:736;1200;0;-55;-0,00;0,00;0,00;5005,01516;5000,73087;5006,73068;5002,38378;
20:49:8:770;1200;0;-55;-0,00;0,00;0,00;5005,0255;5000,72983;5006,73693;5002,37748;
20:49:9:786;1200;0;-55;-0,00;0,00;0,00;5005,0195;5000,72065;5006,73524;5002,38128;
20:49:10:819;1200;0;-55;-0,00;0,00;0,00;5005,02619;5000,73798;5006,72988;5002,37801;
20:49:11:806;1200;0;-55;-0,00;0,00;0,00;5005,0135;5000,74058;5006,73538;5002,382;
20:49:12:823;1200;0;-55;-0,00;0,00;0,00;5005,00807;5000,72443;5006,732;5002,38667;
20:49:13:824;1200;0;-55;-0,00;0,00;0,00;5005,0094;5000,73889;5006,73302;5002,37636;
20:49:14:857;1200;0;-55;-0,00;0,00;0,00;5005,00397;5000,73109;5006,73149;5002,38296;
20:49:15:876;1200;0;-55;-0,00;0,00;0,00;5005,01315;5000,73042;5006,72407;5002,37682;
20:49:16:895;1200;0;-55;-0,00;0,00;0,00;5005,0158;5000,72436;5006,72284;5002,38276;
20:49:17:927;1200;0;-55;-0,00;0,00;0,00;5005,0144;5000,733;5006,72059;5002,38842;
20:49:18:912;1200;0;-55;-0,00;0,00;0,00;5005,02156;5000,73341;5006,72088;5002,38164;
20:49:19:928;1200;0;-55;-0,00;0,00;0,00;5005,0131;5000,72991;5006,71958;5002,38335;
20:49:20:946;1200;0;-55;-0,00;0,00;0,00;5005,01598;5000,72633;5006,71362;5002,38071;
20:49:21:963;1200;0;-55;-0,00;0,00;0,00;5005,00898;5000,73092;5006,71813;5002,36856;
20:49:22:964;1200;0;-55;-0,00;0,00;0,00;5005,01403;5000,73156;5006,71701;5002,37075;
20:49:24:29;1200;0;-55;-0,00;0,00;0,00;5005,00119;5000,72686;5006,72284;5002,37523;
20:49:25:13;1200;0;-55;-0,00;0,00;0,00;5005,01127;5000,72587;5006,71436;5002,37054;
20:49:26:1;1200;0;-55;-0,00;0,00;0,00;5005,00549;5000,72868;5006,70988;5002,36892;
20:49:27:33;1200;0;-55;-0,00;0,00;0,00;5005,00369;5000,72162;5006,71742;5002,37308;
20:49:28:50;1200;0;-55;-0,00;0,00;0,00;5004,99438;5000,70391;5006,71281;5002,37766;
20:49:29:50;1200;0;-55;-0,00;0,00;0,00;5005,00834;5000,72005;5006,71104;5002,37244;
20:49:30:68;1200;0;-55;-0,00;0,00;0,00;5004,99424;5000,72843;5006,71828;5002,37578;
20:49:31:86;1200;0;-55;-0,00;0,00;0,00;5005,00508;5000,72354;5006,72061;5002,36946;
20:49:32:91;1200;0;-55;-0,00;0,00;0,00;5004,99465;5000,72843;5006,70833;5002,36333;
20:49:33:105;1200;0;-55;-0,00;0,00;0,00;5005,0093;5000,70575;5006,71171;5002,36549;
20:49:34:123;1200;0;-55;-0,00;0,00;0,00;5004,99716;5000,73343;5006,70633;5002,36777;
20:49:35:159;1200;0;-55;-0,00;0,00;0,00;5005,00456;5000,70902;5006,70275;5002,36042;
20:49:36:157;1200;0;-55;-0,00;0,00;0,00;5005,00013;5000,71885;5006,70736;5002,35767;
20:49:37:191;1200;0;-55;-0,00;0,00;0,00;5004,99993;5000,71824;5006,71014;5002,36377;
20:49:38:177;1200;0;-55;-0,00;0,00;0,00;5004,99073;5000,7144;5006,70173;5002,35622;
20:49:39:193;1200;0;-55;-0,00;0,00;0,00;5005,00252;5000,72372;5006,70574;5002,35685;
20:49:40:209;1200;0;-55;-0,00;0,00;0,00;5004,99219;5000,70866;5006,6992;5002,35935;
20:49:41:227;1200;0;-55;-0,00;0,00;0,00;5005,00868;5000,6998;5006,70608;5002,3602;
20:49:42:230;1200;0;-55;-0,00;0,00;0,00;5005,00232;5000,71507;5006,70821;5002,36067;
20:49:43:245;1200;0;-55;-0,00;0,00;0,00;5004,99643;5000,71381;5006,70668;5002,36262;
20:49:44:278;1200;0;-55;-0,00;0,00;0,00;5004,98745;5000,70932;5006,70249;5002,36203;
20:49:45:268;1200;0;-55;-0,00;0,00;0,00;5004,99281;5000,70178;5006,70676;5002,35292;
20:49:46:282;1200;0;-55;-0,00;0,00;0,00;5005,00107;5000,70633;5006,7099;5002,35405;
20:49:47:298;1200;0;-55;-0,00;0,00;0,00;5005,00254;5000,70464;5006,70855;5002,35036;
20:49:48:334;1200;0;-55;-0,00;0,00;0,00;5004,99788;5000,70273;5006,706;5002,34368;
20:49:49:318;1200;0;-55;-0,00;0,00;0,00;5004,987;5000,69447;5006,69608;5002,34653;
20:49:50:335;1200;0;-55;-0,00;0,00;0,00;5004,99415;5000,70983;5006,69099;5002,34691;
20:49:51:352;1200;0;-55;-0,00;0,00;0,00;5004,98871;5000,70047;5006,69736;5002,35151;
20:49:52:354;1200;0;-55;-0,00;0,00;0,00;5004,98496;5000,70352;5006,68999;5002,34762;
20:49:53:370;1200;0;-55;-0,00;0,00;0,00;5004,98596;5000,70205;5006,69245;5002,34617;
20:49:54:404;1200;0;-55;-0,00;0,00;0,00;5004,98718;5000,68594;5006,69252;5002,34286;
20:49:55:465;1200;0;-55;-0,00;0,00;0,00;5004,97708;5000,70064;5006,69372;5002,34605;
20:49:56:390;1200;0;-55;-0,00;0,00;0,00;5004,98639;5000,7047;5006,69463;5002,34533;
20:49:57:439;1200;0;-55;-0,00;0,00;0,00;5004,98405;5000,6941;5006,69402;5002,34586;
20:49:58:474;1200;0;-55;-0,00;0,00;0,00;5004,98745;5000,68997;5006,69109;5002,33769;
20:49:59:473;1200;0;-55;-0,00;0,00;0,00;5004,9791;5000,6903;5006,68631;5002,33606;
20:50:0:475;1200;0;-55;-0,00;0,00;0,00;5004,98713;5000,69278;5006,68936;5002,34006;
20:50:1:494;1200;0;-55;-0,00;0,00;0,00;5004,97892;5000,68899;5006,68343;5002,33576;
20:50:2:511;1200;0;-55;-0,00;0,00;0,00;5004,97747;5000,69414;5006,69367;5002,33871;
20:50:3:533;1200;0;-55;-0,00;0,00;0,00;5004,98666;5000,68737;5006,6872;5002,33828;
20:50:4:529;1200;0;-55;-0,00;0,00;0,00;5004,97613;5000,68726;5006,68999;5002,33741;
20:50:5:530;1200;0;-55;-0,00;0,00;0,00;5004,9762;5000,68317;5006,68539;5002,33792;
20:50:6:547;1200;0;-55;-0,00;0,00;0,00;5004,98341;5000,69718;5006,69039;5002,33577;
20:50:7:580;1200;0;-55;-0,00;0,00;0,00;5004,974;5000,68295;5006,68163;5002,33876;
20:50:8:599;1200;0;-55;-0,00;0,00;0,00;5004,97488;5000,70014;5006,68838;5002,33755;
20:50:9:583;1200;0;-55;-0,00;0,00;0,00;5004,98654;5000,69142;5006,68159;5002,33174;
20:50:10:618;1200;0;-55;-0,00;0,00;0,00;5004,97781;5000,68669;5006,67689;5002,32257;
20:50:11:636;1200;0;-55;-0,00;0,00;0,00;5004,97041;5000,68455;5006,67892;5002,32869;
20:50:12:652;1200;0;-55;-0,00;0,00;0,00;5004,97186;5000,67663;5006,6828;5002,32727;
20:50:13:652;1200;0;-55;-0,00;0,00;0,00;5004,98065;5000,67661;5006,67285;5002,3348;
20:50:14:670;1200;0;-55;-0,00;0,00;0,00;5004,96617;5000,67753;5006,68229;5002,32957;
20:50:15:702;1200;0;-55;-0,00;0,00;0,00;5004,9687;5000,66893;5006,67174;5002,32867;
20:50:16:706;1200;0;-55;-0,00;0,00;0,00;5004,967;5000,66983;5006,67238;5002,32627;
20:50:17:736;1200;0;-55;-0,00;0,00;0,00;5004,97203;5000,68058;5006,6696;5002,32906;
20:50:18:721;1200;0;-55;-0,00;0,00;0,00;5004,97338;5000,68078;5006,67185;5002,32028;
20:50:19:739;1200;0;-55;-0,00;0,00;0,00;5004,96332;5000,67872;5006,67172;5002,32691;
20:50:20:757;1200;0;-55;-0,00;0,00;0,00;5004,96355;5000,68106;5006,67846;5002,31822;
20:50:21:775;1200;0;-55;-0,00;0,00;0,00;5004,96802;5000,68009;5006,68316;5002,31803;
20:50:22:808;1200;0;-55;-0,00;0,00;0,00;5004,96368;5000,67231;5006,67087;5002,32341;
20:50:23:810;1200;0;-55;-0,00;0,00;0,00;5004,96144;5000,67399;5006,67568;5002,32158;
20:50:24:795;1200;0;-55;-0,00;0,00;0,00;5004,95787;5000,67064;5006,66944;5002,32347;
20:50:25:828;1200;0;-55;-0,00;0,00;0,00;5004,9599;5000,67043;5006,66218;5002,32142;
20:50:26:848;1200;0;-55;-0,00;0,00;0,00;5004,96651;5000,67237;5006,66239;5002,32536;
20:50:27:846;1200;0;-55;-0,00;0,00;0,00;5004,95811;5000,67587;5006,66657;5002,3229;
20:50:28:866;1200;0;-55;-0,00;0,00;0,00;5004,96431;5000,67359;5006,66277;5002,31894;
20:50:29:881;1200;0;-55;-0,00;0,00;0,00;5004,95797;5000,66256;5006,66725;5002,31863;
20:50:30:898;1200;0;-55;-0,00;0,00;0,00;5004,95034;5000,66714;5006,66613;5002,32117;
20:50:31:931;1200;0;-55;-0,00;0,00;0,00;5004,94886;5000,66858;5006,65788;5002,31843;
20:50:32:932;1200;0;-55;-0,00;0,00;0,00;5004,96089;5000,66232;5006,65422;5002,31814;
20:50:33:934;1200;0;-55;-0,00;0,00;0,00;5004,95816;5000,66311;5006,65056;5002,31229;
20:50:34:935;1200;0;-55;-0,00;0,00;0,00;5004,95641;5000,66448;5006,64934;5002,31193;
20:50:35:952;1200;0;-55;-0,00;0,00;0,00;5004,95449;5000,67277;5006,65471;5002,30981;
20:50:36:970;1200;0;-55;-0,00;0,00;0,00;5004,95575;5000,66691;5006,65477;5002,30994;
20:50:38:9;1200;0;-55;-0,00;0,00;0,00;5004,94464;5000,66397;5006,65989;5002,31453;
20:50:39:21;1200;0;-55;-0,00;0,00;0,00;5004,93953;5000,65291;5006,66448;5002,31167;
20:50:40:21;1200;0;-55;-0,00;0,00;0,00;5004,94619;5000,65299;5006,66233;5002,31638;
20:50:41:42;1200;0;-55;-0,00;0,00;0,00;5004,94586;5000,66648;5006,65967;5002,31215;
20:50:42:43;1200;0;-55;-0,00;0,00;0,00;5004,95448;5000,66623;5006,65956;5002,31244;
20:50:43:56;1200;0;-55;-0,00;0,00;0,00;5004,94618;5000,65113;5006,6602;5002,30598;
20:50:44:91;1200;0;-55;-0,00;0,00;0,00;5004,94586;5000,65175;5006,64771;5002,30902;
20:50:45:92;1200;0;-55;-0,00;0,00;0,00;5004,94638;5000,64414;5006,65263;5002,30269;
20:50:46:109;1200;0;-55;-0,00;0,00;0,00;5004,93961;5000,6608;5006,64822;5002,3125;
20:50:47:127;1200;0;-55;-0,00;0,00;0,00;5004,94611;5000,6627;5006,65126;5002,31356;
20:50:48:144;1200;0;-55;-0,00;0,00;0,00;5004,94257;5000,66006;5006,6497;5002,30325;
20:50:49:144;1200;0;-55;-0,00;0,00;0,00;5004,93473;5000,6529;5006,65278;5002,30746;
20:50:50:161;1200;0;-55;-0,00;0,00;0,00;5004,93398;5000,64625;5006,64726;5002,30286;
20:50:51:196;1200;0;-55;-0,00;0,00;0,00;5004,92863;5000,64862;5006,64021;5002,30376;
20:50:52:181;1200;0;-55;-0,00;0,00;0,00;5004,92565;5000,64939;5006,64775;5002,30058;
20:50:53:214;1200;0;-55;-0,00;0,00;0,00;5004,93793;5000,63896;5006,63842;5002,3021;
20:50:54:215;1200;0;-55;-0,00;0,00;0,00;5004,93553;5000,64531;5006,64132;5002,29893;
20:50:55:232;1200;0;-55;-0,00;0,00;0,00;5004,93297;5000,63689;5006,6467;5002,28944;
20:50:56:249;1200;0;-55;-0,00;0,00;0,00;5004,93336;5000,65288;5006,64637;5002,29005;
20:50:57:266;1200;0;-55;-0,00;0,00;0,00;5004,94402;5000,64676;5006,64544;5002,29263;
20:50:58:267;1200;0;-55;-0,00;0,00;0,00;5004,93096;5000,64169;5006,64512;5002,28524;
20:50:59:285;1200;0;-55;-0,00;0,00;0,00;5004,93618;5000,63669;5006,64533;5002,28889;
20:51:0:318;1200;0;-55;-0,00;0,00;0,00;5004,93295;5000,63161;5006,64501;5002,2885;
20:51:1:319;1200;0;-55;-0,00;0,00;0,00;5004,93164;5000,63239;5006,6449;5002,29485;
20:51:2:321;1200;0;-55;-0,00;0,00;0,00;5004,92534;5000,64866;5006,64267;5002,29505;
20:51:3:354;1200;0;-55;-0,00;0,00;0,00;5004,92119;5000,6329;5006,6348;5002,27606;
20:51:4:355;1200;0;-55;-0,00;0,00;0,00;5004,92555;5000,63527;5006,63675;5002,28451;
20:51:5:407;1200;0;-55;-0,00;0,00;0,00;5004,92506;5000,63834;5006,6299;5002,28633;
20:51:6:374;1200;0;-55;-0,00;0,00;0,00;5004,9274;5000,62851;5006,6338;5002,2937;
20:51:7:391;1200;0;-55;-0,00;0,00;0,00;5004,92289;5000,64512;5006,63297;5002,28284;
20:51:8:392;1200;0;-55;-0,00;0,00;0,00;5004,92928;5000,62579;5006,62673;5002,28694;
20:51:9:427;1200;0;-55;-0,00;0,00;0,00;5004,92409;5000,63517;5006,62461;5002,28553;
20:51:10:478;1200;0;-55;-0,00;0,00;0,00;5004,92676;5000,62278;5006,62382;5002,2897;
20:51:11:477;1200;0;-55;-0,00;0,00;0,00;5004,92475;5000,61806;5006,62063;5002,27939;
20:51:12:465;1200;0;-55;-0,00;0,00;0,00;5004,91311;5000,6276;5006,62657;5002,28421;
20:51:13:480;1200;0;-55;-0,00;0,00;0,00;5004,9241;5000,61484;5006,62317;5002,27898;
20:51:14:512;1200;0;-55;-0,00;0,00;0,00;5004,92001;5000,61988;5006,6249;5002,27134;
20:51:15:546;1200;0;-55;-0,00;0,00;0,00;5004,92252;5000,61878;5006,62215;5002,27043;
20:51:16:530;1200;0;-55;-0,00;0,00;0,00;5004,91212;5000,62463;5006,6235;5002,27706;
20:51:17:533;1200;0;-55;-0,00;0,00;0,00;5004,91332;5000,61546;5006,62326;5002,27204;
20:51:18:549;1200;0;-55;-0,00;0,00;0,00;5004,91565;5000,62008;5006,61805;5002,27764;
20:51:19:581;1200;0;-55;-0,00;0,00;0,00;5004,9249;5000,62152;5006,61643;5002,26902;
20:51:20:600;1200;0;-55;-0,00;0,00;0,00;5004,91642;5000,61108;5006,61195;5002,26812;
20:51:21:600;1200;0;-55;-0,00;0,00;0,00;5004,91714;5000,6061;5006,61151;5002,26702;
20:51:22:594;1200;0;-55;-0,00;0,00;0,00;5004,91545;5000,62066;5006,61599;5002,26149;
20:51:23:654;1200;0;-55;-0,00;0,00;0,00;5004,92363;5000,62589;5006,61696;5002,27262;
20:51:24:638;1200;0;-55;-0,00;0,00;0,00;5004,91159;5000,60103;5006,60837;5002,27495;
20:51:25:673;1200;0;-55;-0,00;0,00;0,00;5004,91487;5000,6185;5006,61751;5002,27217;
20:51:26:688;1200;0;-55;-0,00;0,00;0,00;5004,90913;5000,61571;5006,61616;5002,27581;
20:51:27:688;1200;0;-55;-0,00;0,00;0,00;5004,91582;5000,61942;5006,61691;5002,27038;
20:51:28:690;1200;0;-55;-0,00;0,00;0,00;5004,8955;5000,61072;5006,61139;5002,25987;
20:51:29:723;1200;0;-55;-0,00;0,00;0,00;5004,9108;5000,61067;5006,61271;5002,2656;
20:51:30:708;1200;0;-55;-0,00;0,00;0,00;5004,90653;5000,60416;5006,61528;5002,27513;
20:51:31:742;1200;0;-55;-0,00;0,00;0,00;5004,90707;5000,60316;5006,613;5002,2646;
20:51:32:743;1200;0;-55;-0,00;0,00;0,00;5004,89513;5000,59611;5006,6146;5002,26299;
20:51:33:761;1200;0;-55;-0,00;0,00;0,00;5004,89806;5000,59853;5006,61696;5002,25863;
20:51:34:793;1200;0;-55;-0,00;0,00;0,00;5004,90749;5000,60294;5006,61409;5002,26832;
20:51:35:827;1200;0;-55;-0,00;0,00;0,00;5004,896;5000,59309;5006,60655;5002,2571;
20:51:36:811;1200;0;-55;-0,00;0,00;0,00;5004,90614;5000,60264;5006,60168;5002,25793;
20:51:37:823;1200;0;-55;-0,00;0,00;0,00;5004,89904;5000,60624;5006,59748;5002,26699;
20:51:38:830;1200;0;-55;-0,00;0,00;0,00;5004,90495;5000,60524;5006,59698;5002,26083;
20:51:39:863;1200;0;-55;-0,00;0,00;0,00;5004,90617;5000,59418;5006,59513;5002,25992;
20:51:40:866;1200;0;-55;-0,00;0,00;0,00;5004,90263;5000,58852;5006,59217;5002,25379;
20:51:41:884;1200;0;-55;-0,00;0,00;0,00;5004,90202;5000,60596;5006,59267;5002,24735;
20:51:42:869;1200;0;-55;-0,00;0,00;0,00;5004,90298;5000,59561;5006,59548;5002,24944;
20:51:43:901;1200;0;-55;-0,00;0,00;0,00;5004,8855;5000,59756;5006,59447;5002,24391;
20:51:44:933;1200;0;-55;-0,00;0,00;0,00;5004,89332;5000,59452;5006,59362;5002,24207;
20:51:45:936;1200;0;-55;-0,00;0,00;0,00;5004,89095;5000,59547;5006,59578;5002,24524;
20:51:46:922;1200;0;-55;-0,00;0,00;0,00;5004,88753;5000,60483;5006,59173;5002,2453;
20:51:47:939;1200;0;-55;-0,00;0,00;0,00;5004,8887;5000,59344;5006,5907;5002,24806;
20:51:48:971;1200;0;-55;-0,00;0,00;0,00;5004,89939;5000,58427;5006,59429;5002,24546;
20:51:49:992;1200;0;-55;-0,00;0,00;0,00;5004,88691;5000,58704;5006,5955;5002,24476;
20:51:51:6;1200;0;-55;-0,00;0,00;0,00;5004,8873;5000,58827;5006,60051;5002,2516;
20:51:51:993;1200;0;-55;-0,00;0,00;0,00;5004,88894;5000,58431;5006,59383;5002,25015;
20:51:53:25;1200;0;-55;-0,00;0,00;0,00;5004,88646;5000,59771;5006,59361;5002,24614;
20:51:54:43;1200;0;-55;-0,00;0,00;0,00;5004,87358;5000,58181;5006,59347;5002,24927;
20:51:55:75;1200;0;-55;-0,00;0,00;0,00;5004,89314;5000,57951;5006,5994;5002,24969;
20:51:56:76;1200;0;-55;-0,00;0,00;0,00;5004,8885;5000,58982;5006,59384;5002,24528;
20:51:57:94;1200;0;-55;-0,00;0,00;0,00;5004,88734;5000,59258;5006,58547;5002,2445;
20:51:58:79;1200;0;-55;-0,00;0,00;0,00;5004,88335;5000,57659;5006,58735;5002,24554;
20:51:59:140;1200;0;-55;-0,00;0,00;0,00;5004,88581;5000,58599;5006,58089;5002,23515;
20:52:0:130;1200;0;-55;-0,00;0,00;0,00;5004,87566;5000,58927;5006,58612;5002,23549;
20:52:1:150;1200;0;-55;-0,00;0,00;0,00;5004,8827;5000,58177;5006,58173;5002,23353;
20:52:2:134;1200;0;-55;-0,00;0,00;0,00;5004,87536;5000,58343;5006,596;5002,2273;
20:52:3:166;1200;0;-55;-0,00;0,00;0,00;5004,88407;5000,58298;5006,58465;5002,23597;
20:52:4:183;1200;0;-55;-0,00;0,00;0,00;5004,87671;5000,58302;5006,58477;5002,23247;
20:52:5:216;1200;0;-55;-0,00;0,00;0,00;5004,87829;5000,57974;5006,58404;5002,23279;
20:52:6:233;1200;0;-55;-0,00;0,00;0,00;5004,88188;5000,57679;5006,57916;5002,2311;
20:52:7:250;1200;0;-55;-0,00;0,00;0,00;5004,87798;5000,57936;5006,57927;5002,22779;
20:52:8:267;1200;0;-55;-0,00;0,00;0,00;5004,88119;5000,57724;5006,57739;5002,22444;
20:52:9:269;1200;0;-55;-0,00;0,00;0,00;5004,87275;5000,58344;5006,58447;5002,23086;
20:52:10:270;1200;0;-55;-0,00;0,00;0,00;5004,87049;5000,56278;5006,57306;5002,22749;
20:52:11:303;1200;0;-55;-0,00;0,00;0,00;5004,88557;5000,57261;5006,57142;5002,22772;
20:52:12:307;1200;0;-55;-0,00;0,00;0,00;5004,87815;5000,57323;5006,57184;5002,22107;
20:52:13:323;1200;0;-55;-0,00;0,00;0,00;5004,87715;5000,56999;5006,56862;5002,22107;
20:52:14:323;1200;0;-55;-0,00;0,00;0,00;5004,87868;5000,55304;5006,57394;5002,22675;
20:52:15:341;1200;0;-55;-0,00;0,00;0,00;5004,8697;5000,56981;5006,58129;5002,21912;
20:52:16:357;1200;0;-55;-0,00;0,00;0,00;5004,87206;5000,56213;5006,57449;5002,22533;
20:52:17:392;1200;0;-55;-0,00;0,00;0,00;5004,86892;5000,55848;5006,57358;5002,21618;
20:52:18:392;1200;0;-55;-0,00;0,00;0,00;5004,86633;5000,56077;5006,57296;5002,21219;
20:52:19:409;1200;0;-55;-0,00;0,00;0,00;5004,86943;5000,55876;5006,57483;5002,21687;
20:52:20:426;1200;0;-55;-0,00;0,00;0,00;5004,85392;5000,56142;5006,57261;5002,21165;
20:52:21:430;1200;0;-55;-0,00;0,00;0,00;5004,85929;5000,55815;5006,56444;5002,22203;
20:52:22:462;1200;0;-55;-0,00;0,00;0,00;5004,85676;5000,55385;5006,56417;5002,21908;
20:52:23:480;1200;0;-55;-0,00;0,00;0,00;5004,8636;5000,55052;5006,5647;5002,20707;
20:52:24:480;1200;0;-55;-0,00;0,00;0,00;5004,85471;5000,55442;5006,55578;5002,20809;
20:52:25:497;1200;0;-55;-0,00;0,00;0,00;5004,85836;5000,53816;5006,55833;5002,20021;
20:52:26:514;1200;0;-55;-0,00;0,00;0,00;5004,86261;5000,54157;5006,56104;5002,20664;
20:52:27:531;1200;0;-55;-0,00;0,00;0,00;5004,85001;5000,54449;5006,56104;5002,20544;
20:52:28:550;1200;0;-55;-0,00;0,00;0,00;5004,85358;5000,5525;5006,56532;5002,20452;
20:52:29:551;1200;0;-55;-0,00;0,00;0,00;5004,85733;5000,54748;5006,56564;5002,20054;
20:52:30:567;1200;0;-55;-0,00;0,00;0,00;5004,86356;5000,55238;5006,55879;5002,20098;
20:52:31:583;1200;0;-55;-0,00;0,00;0,00;5004,85623;5000,55127;5006,56256;5002,20143;
20:52:32:588;1200;0;-55;-0,00;0,00;0,00;5004,86318;5000,5413;5006,55882;5002,19949;
20:52:33:605;1200;0;-55;-0,00;0,00;0,00;5004,86671;5000,54284;5006,55215;5002,19691;
20:52:34:606;1200;0;-55;-0,00;0,00;0,00;5004,85625;5000,55442;5006,55213;5002,20007;
20:52:35:622;1200;0;-55;-0,00;0,00;0,00;5004,84895;5000,55044;5006,54857;5002,19465;
20:52:36:639;1200;0;-55;-0,00;0,00;0,00;5004,85957;5000,54397;5006,55428;5002,19739;
20:52:37:673;1200;0;-55;-0,00;0,00;0,00;5004,86464;5000,54602;5006,54851;5002,1962;
20:52:38:690;1200;0;-55;-0,00;0,00;0,00;5004,84808;5000,54915;5006,54594;5002,18498;
20:52:39:692;1200;0;-55;-0,00;0,00;0,00;5004,84847;5000,53653;5006,54868;5002,1915;
20:52:40:691;1200;0;-55;-0,00;0,00;0,00;5004,85104;5000,5464;5006,54499;5002,18743;
20:52:41:711;1200;0;-55;-0,00;0,00;0,00;5004,84769;5000,54129;5006,55236;5002,18709;
20:52:42:727;1200;0;-55;-0,00;0,00;0,00;5004,85412;5000,52546;5006,54726;5002,1868;
20:52:43:731;1200;0;-55;-0,00;0,00;0,00;5004,84722;5000,53588;5006,54655;5002,18208;
20:52:44:761;1200;0;-55;-0,00;0,00;0,00;5004,83682;5000,54018;5006,54449;5002,19227;
20:52:45:795;1200;0;-55;-0,00;0,00;0,00;5004,84018;5000,53387;5006,53969;5002,19267;
20:52:46:796;1200;0;-55;-0,00;0,00;0,00;5004,84115;5000,53246;5006,54165;5002,18908;
20:52:47:814;1200;0;-55;-0,00;0,00;0,00;5004,84637;5000,52388;5006,54278;5002,19273;
20:52:48:814;1200;0;-55;-0,00;0,00;0,00;5004,84704;5000,52481;5006,53846;5002,186;
20:52:49:816;1200;0;-55;-0,00;0,00;0,00;5004,83804;5000,51814;5006,54962;5002,18201;
20:52:50:858;1200;0;-55;-0,00;0,00;0,00;5004,82953;5000,51886;5006,54032;5002,18693;
20:52:51:867;1200;0;-55;-0,00;0,00;0,00;5004,84001;5000,539;5006,54492;5002,17928;
20:52:52:871;1200;0;-55;-0,00;0,00;0,00;5004,84578;5000,52888;5006,53954;5002,17489;
20:52:53:902;1200;0;-55;-0,00;0,00;0,00;5004,8383;5000,52486;5006,52154;5002,18379;
20:52:54:888;1200;0;-55;-0,00;0,00;0,00;5004,8306;5000,53187;5006,53377;5002,17765;
20:52:55:936;1200;0;-55;-0,00;0,00;0,00;5004,83223;5000,51918;5006,5307;5002,17416;
20:52:56:922;1200;0;-55;-0,00;0,00;0,00;5004,83797;5000,52112;5006,52853;5002,17661;
20:52:57:954;1200;0;-55;-0,00;0,00;0,00;5004,82288;5000,53413;5006,52872;5002,17556;
20:52:58:940;1200;0;-55;-0,00;0,00;0,00;5004,82222;5000,52299;5006,53107;5002,17331;
20:52:59:944;1200;0;-55;-0,00;0,00;0,00;5004,83161;5000,51273;5006,53253;5002,17544;
20:53:1:23;1200;0;-55;-0,00;0,00;0,00;5004,82556;5000,51713;5006,52881;5002,17974;
20:53:1:977;1200;0;-55;-0,00;0,00;0,00;5004,83567;5000,51332;5006,53398;5002,17042;
20:53:3:10;1200;0;-55;-0,00;0,00;0,00;5004,8283;5000,51649;5006,53166;5002,17514;
20:53:4:27;1200;0;-55;-0,00;0,00;0,00;5004,82401;5000,51906;5006,52154;5002,17417;
20:53:5:60;1200;0;-55;-0,00;0,00;0,00;5004,82238;5000,52509;5006,52943;5002,1745;
20:53:6:79;1200;0;-55;-0,00;0,00;0,00;5004,81162;5000,53399;5006,52332;5002,16856;
20:53:7:62;1200;0;-55;-0,00;0,00;0,00;5004,81423;5000,5053;5006,52194;5002,16396;
20:53:8:80;1200;0;-55;-0,00;0,00;0,00;5004,81825;5000,51321;5006,51416;5002,16293;
20:53:9:96;1200;0;-55;-0,00;0,00;0,00;5004,82527;5000,5072;5006,50968;5002,16302;
20:53:10:97;1200;0;-55;-0,00;0,00;0,00;5004,81192;5000,50998;5006,51418;5002,16224;
20:53:11:114;1200;0;-55;-0,00;0,00;0,00;5004,82539;5000,49707;5006,51213;5002,16838;
20:53:12:132;1200;0;-55;-0,00;0,00;0,00;5004,82311;5000,49595;5006,50794;5002,1616;
20:53:13:151;1200;0;-55;-0,00;0,00;0,00;5004,82293;5000,50379;5006,51631;5002,15579;
20:53:14:184;1200;0;-55;-0,00;0,00;0,00;5004,8064;5000,51382;5006,50477;5002,16285;
20:53:15:184;1200;0;-55;-0,00;0,00;0,00;5004,82709;5000,50309;5006,50445;5002,15658;
20:53:16:218;1200;0;-55;-0,00;0,00;0,00;5004,80872;5000,50639;5006,50661;5002,15425;
20:53:17:186;1200;0;-55;-0,00;0,00;0,00;5004,82608;5000,5149;5006,50946;5002,15273;
20:53:18:221;1200;0;-55;-0,00;0,00;0,00;5004,81571;5000,49937;5006,51159;5002,15784;
20:53:19:205;1200;0;-55;-0,00;0,00;0,00;5004,82282;5000,50572;5006,50974;5002,15099;
20:53:20:254;1200;0;-55;-0,00;0,00;0,00;5004,82323;5000,51124;5006,50872;5002,15931;
20:53:21:255;1200;0;-55;-0,00;0,00;0,00;5004,81523;5000,4941;5006,50647;5002,15839;
20:53:22:289;1200;0;-55;-0,00;0,00;0,00;5004,80808;5000,49315;5006,50512;5002,15814;
20:53:23:291;1200;0;-55;-0,00;0,00;0,00;5004,80702;5000,49274;5006,50185;5002,14782;
