Nouvelle acquisition du 22/11/2018 19:29:20
Date;Montée (s);Palier (s);Temp (°C);Negative_Reference_Load_Limit;Positive_Reference_Load_Limit;Load;JT1A;JT2A;JT1B;NA
19:30:19:499;0;3600;25;-0,00;0,00;0,00;5005,48762;5001,31808;5007,26466;5002,96149;
19:30:20:532;0;3600;25;-0,00;0,00;0,00;5005,50168;5001,32113;5007,2631;5002,96346;
19:30:21:567;0;3600;25;-0,00;0,00;0,00;5005,48072;5001,32907;5007,25904;5002,96267;
19:30:22:568;0;3600;25;-0,00;0,00;0,00;5005,489;5001,32812;5007,26753;5002,95719;
19:30:23:584;0;3600;25;-0,00;0,00;0,00;5005,48988;5001,32211;5007,26385;5002,95381;
19:30:24:585;0;3600;25;-0,00;0,00;0,00;5005,4904;5001,34996;5007,26354;5002,95765;
19:30:25:618;0;3600;25;-0,00;0,00;0,00;5005,50078;5001,33517;5007,26813;5002,96334;
19:30:26:604;0;3600;25;-0,00;0,00;0,00;5005,48802;5001,33365;5007,26526;5002,96108;
19:30:27:606;0;3600;25;-0,00;0,00;0,00;5005,48214;5001,34021;5007,26701;5002,9617;
19:30:28:638;0;3600;25;-0,00;0,00;0,00;5005,48324;5001,32255;5007,2701;5002,96786;
19:30:29:639;0;3600;25;-0,00;0,00;0,00;5005,48214;5001,32579;5007,26132;5002,96849;
19:30:30:689;0;3600;25;-0,00;0,00;0,00;5005,49076;5001,3231;5007,26203;5002,95886;
19:30:31:681;0;3600;25;-0,00;0,00;0,00;5005,49613;5001,32586;5007,26929;5002,9705;
19:30:32:708;0;3600;25;-0,00;0,00;0,00;5005,49783;5001,32073;5007,26619;5002,96823;
19:30:33:725;0;3600;25;-0,00;0,00;0,00;5005,50487;5001,33256;5007,26668;5002,96435;
19:30:34:710;0;3600;25;-0,00;0,00;0,00;5005,48827;5001,32723;5007,27142;5002,96477;
19:30:35:743;0;3600;25;-0,00;0,00;0,00;5005,4895;5001,32388;5007,26644;5002,96658;
19:30:36:777;0;3600;25;-0,00;0,00;0,00;5005,48849;5001,34353;5007,26115;5002,96679;
19:30:37:794;0;3600;25;-0,00;0,00;0,00;5005,48557;5001,33348;5007,2584;5002,9707;
19:30:38:795;0;3600;25;-0,00;0,00;0,00;5005,50439;5001,33778;5007,25791;5002,97169;
19:30:39:780;0;3600;25;-0,00;0,00;0,00;5005,49493;5001,32896;5007,25545;5002,965;
19:30:40:800;0;3600;25;-0,00;0,00;0,00;5005,49031;5001,32336;5007,26198;5002,95657;
19:30:41:832;0;3600;25;-0,00;0,00;0,00;5005,4868;5001,33475;5007,26318;5002,9683;
19:30:42:847;0;3600;25;-0,00;0,00;0,00;5005,48757;5001,32327;5007,26328;5002,97017;
19:30:43:849;0;3600;25;-0,00;0,00;0,00;5005,48245;5001,32685;5007,2617;5002,96455;
19:30:44:867;0;3600;25;-0,00;0,00;0,00;5005,48863;5001,32024;5007,25813;5002,96516;
19:30:45:868;0;3600;25;-0,00;0,00;0,00;5005,4954;5001,32058;5007,26673;5002,96058;
19:30:46:901;0;3600;25;-0,00;0,00;0,00;5005,4857;5001,3154;5007,27354;5002,96183;
19:30:47:936;0;3600;25;-0,00;0,00;0,00;5005,49958;5001,31482;5007,26792;5002,96322;
19:30:48:918;0;3600;25;-0,00;0,00;0,00;5005,49275;5001,32893;5007,26412;5002,96238;
19:30:49:938;0;3600;25;-0,00;0,00;0,00;5005,49818;5001,32531;5007,27232;5002,96561;
19:30:50:937;0;3600;25;-0,00;0,00;0,00;5005,49311;5001,333;5007,26688;5002,96682;
19:30:51:999;0;3600;25;-0,00;0,00;0,00;5005,50222;5001,32345;5007,27016;5002,957;
19:30:52:972;0;3600;25;-0,00;0,00;0,00;5005,49414;5001,33033;5007,26493;5002,95761;
19:30:53:991;0;3600;25;-0,00;0,00;0,00;5005,49125;5001,33077;5007,26883;5002,95438;
19:30:54:976;0;3600;25;-0,00;0,00;0,00;5005,48318;5001,33366;5007,27314;5002,95714;
19:30:55:995;0;3600;25;-0,00;0,00;0,00;5005,49395;5001,31993;5007,27162;5002,95428;
19:30:57:32;0;3600;25;-0,00;0,00;0,00;5005,48403;5001,32761;5007,26832;5002,96183;
19:30:58:43;0;3600;25;-0,00;0,00;0,00;5005,48936;5001,31961;5007,2706;5002,96894;
19:30:59:60;0;3600;25;-0,00;0,00;0,00;5005,50098;5001,33005;5007,25886;5002,96549;
19:31:0:94;0;3600;25;-0,00;0,00;0,00;5005,48282;5001,32225;5007,25675;5002,96867;
19:31:1:80;0;3600;25;-0,00;0,00;0,00;5005,49543;5001,32977;5007,25739;5002,95779;
19:31:2:114;0;3600;25;-0,00;0,00;0,00;5005,48708;5001,33222;5007,26334;5002,95582;
19:31:3:98;0;3600;25;-0,00;0,00;0,00;5005,48663;5001,32167;5007,26025;5002,96213;
19:31:4:130;0;3600;25;-0,00;0,00;0,00;5005,48818;5001,31915;5007,26054;5002,96152;
19:31:5:132;0;3600;25;-0,00;0,00;0,00;5005,48958;5001,32345;5007,26144;5002,96292;
19:31:6:166;0;3600;25;-0,00;0,00;0,00;5005,48416;5001,32521;5007,26862;5002,96883;
19:31:7:166;0;3600;25;-0,00;0,00;0,00;5005,49331;5001,32771;5007,26185;5002,96253;
19:31:8:167;0;3600;25;-0,00;0,00;0,00;5005,48822;5001,33536;5007,25746;5002,95918;
19:31:9:185;0;3600;25;-0,00;0,00;0,00;5005,49484;5001,33288;5007,26544;5002,95745;
19:31:10:220;0;3600;25;-0,00;0,00;0,00;5005,49258;5001,33118;5007,26103;5002,96166;
19:31:11:236;0;3600;25;-0,00;0,00;0,00;5005,49754;5001,31546;5007,26275;5002,95632;
19:31:12:237;0;3600;25;-0,00;0,00;0,00;5005,49017;5001,32374;5007,26144;5002,95426;
19:31:13:255;0;3600;25;-0,00;0,00;0,00;5005,4836;5001,3241;5007,25972;5002,95995;
19:31:14:288;0;3600;25;-0,00;0,00;0,00;5005,50163;5001,32749;5007,2493;5002,96053;
19:31:15:288;0;3600;25;-0,00;0,00;0,00;5005,49436;5001,32789;5007,26025;5002,96552;
19:31:16:322;0;3600;25;-0,00;0,00;0,00;5005,48756;5001,32265;5007,26195;5002,96819;
19:31:17:307;0;3600;25;-0,00;0,00;0,00;5005,48278;5001,32078;5007,2645;5002,95898;
19:31:18:341;0;3600;25;-0,00;0,00;0,00;5005,48338;5001,32311;5007,25935;5002,95859;
19:31:19:342;0;3600;25;-0,00;0,00;0,00;5005,47508;5001,33281;5007,26611;5002,9614;
19:31:20:360;0;3600;25;-0,00;0,00;0,00;5005,48451;5001,32777;5007,27044;5002,95924;
19:31:21:377;0;3600;25;-0,00;0,00;0,00;5005,4864;5001,32962;5007,26461;5002,96015;
19:31:22:377;0;3600;25;-0,00;0,00;0,00;5005,47855;5001,33004;5007,2689;5002,95985;
19:31:23:410;0;3600;25;-0,00;0,00;0,00;5005,48795;5001,31676;5007,26255;5002,96173;
19:31:24:413;0;3600;25;-0,00;0,00;0,00;5005,487;5001,31329;5007,2645;5002,95928;
19:31:25:446;0;3600;25;-0,00;0,00;0,00;5005,48714;5001,33728;5007,26055;5002,95468;
19:31:26:431;0;3600;25;-0,00;0,00;0,00;5005,49792;5001,32115;5007,25974;5002,96732;
19:31:27:449;0;3600;25;-0,00;0,00;0,00;5005,4752;5001,32362;5007,2615;5002,96913;
19:31:28:465;0;3600;25;-0,00;0,00;0,00;5005,48416;5001,3164;5007,26296;5002,97035;
19:31:29:483;0;3600;25;-0,00;0,00;0,00;5005,49098;5001,321;5007,25446;5002,97055;
19:31:30:483;0;3600;25;-0,00;0,00;0,00;5005,48093;5001,31343;5007,26027;5002,96487;
19:31:31:502;0;3600;25;-0,00;0,00;0,00;5005,48115;5001,32455;5007,26127;5002,96489;
19:31:32:535;0;3600;25;-0,00;0,00;0,00;5005,49083;5001,32617;5007,26862;5002,96012;
19:31:33:544;0;3600;25;-0,00;0,00;0,00;5005,49341;5001,33344;5007,26534;5002,95371;
19:31:34:538;0;3600;25;-0,00;0,00;0,00;5005,49677;5001,31114;5007,26534;5002,95972;
19:31:35:570;0;3600;25;-0,00;0,00;0,00;5005,4854;5001,32255;5007,26195;5002,95672;
19:31:36:588;0;3600;25;-0,00;0,00;0,00;5005,50477;5001,31899;5007,25584;5002,96079;
19:31:37:605;0;3600;25;-0,00;0,00;0,00;5005,49691;5001,33065;5007,26033;5002,96537;
19:31:38:621;0;3600;25;-0,00;0,00;0,00;5005,48834;5001,32232;5007,26095;5002,96068;
19:31:39:624;0;3600;25;-0,00;0,00;0,00;5005,48133;5001,32753;5007,26463;5002,95962;
19:31:40:656;0;3600;25;-0,00;0,00;0,00;5005,49396;5001,3323;5007,2677;5002,96444;
19:31:41:643;0;3600;25;-0,00;0,00;0,00;5005,49491;5001,33407;5007,26677;5002,96329;
19:31:42:674;0;3600;25;-0,00;0,00;0,00;5005,48383;5001,32518;5007,26433;5002,96601;
19:31:43:772;0;3600;25;-0,00;0,00;0,00;5005,49075;5001,32799;5007,26433;5002,96053;
19:31:44:694;0;3600;25;-0,00;0,00;0,00;5005,49005;5001,32077;5007,2583;5002,9637;
19:31:45:711;0;3600;25;-0,00;0,00;0,00;5005,49684;5001,33185;5007,25925;5002,95861;
19:31:46:730;0;3600;25;-0,00;0,00;0,00;5005,49276;5001,31571;5007,25759;5002,95713;
19:31:47:746;0;3600;25;-0,00;0,00;0,00;5005,48583;5001,32729;5007,26403;5002,95409;
19:31:48:747;0;3600;25;-0,00;0,00;0,00;5005,48614;5001,30995;5007,26711;5002,95428;
19:31:49:765;0;3600;25;-0,00;0,00;0,00;5005,48352;5001,32375;5007,2624;5002,95498;
19:31:50:783;0;3600;25;-0,00;0,00;0,00;5005,48654;5001,31994;5007,26669;5002,95984;
19:31:51:784;0;3600;25;-0,00;0,00;0,00;5005,48171;5001,31882;5007,26302;5002,9637;
19:31:52:818;0;3600;25;-0,00;0,00;0,00;5005,47318;5001,32018;5007,26486;5002,96687;
19:31:53:834;0;3600;25;-0,00;0,00;0,00;5005,47841;5001,31303;5007,26423;5002,96858;
19:31:54:867;0;3600;25;-0,00;0,00;0,00;5005,48192;5001,31579;5007,27001;5002,96695;
19:31:55:838;0;3600;25;-0,00;0,00;0,00;5005,49741;5001,32362;5007,26406;5002,96051;
19:31:56:853;0;3600;25;-0,00;0,00;0,00;5005,48339;5001,32371;5007,26974;5002,97102;
